Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,125.1900,127.0000,124.3900,126.7000,73256700,126.7000
2006-01-04,126.8600,127.4900,126.7000,127.3000,51899600,127.3000
2006-01-05,127.1500,127.5900,126.8800,127.3800,47307500,127.3800
2006-01-06,128.0200,128.5800,127.3600,128.4400,62885900,128.4400
2006-01-09,128.4200,129.0600,128.3800,128.7700,43527400,128.7700
2006-01-10,128.3900,128.9800,128.2600,128.9000,44960800,128.9000
2006-01-11,129.0200,129.4400,128.7300,129.3100,49598900,129.3100
2006-01-12,129.0800,129.2800,128.4400,128.8000,40509200,128.8000
2006-01-13,128.5700,128.9000,128.2000,128.6800,44856700,128.6800
2006-01-17,128.2000,128.4200,127.8100,128.3300,52066600,128.3300
2006-01-18,127.5800,128.9000,127.1600,127.8200,75067600,127.8200
2006-01-19,128.1300,128.7700,127.8100,128.3100,81530400,128.3100
2006-01-20,128.2800,128.3100,125.9700,125.9700,114957800,125.9700
2006-01-23,126.2100,126.8200,126.1300,126.4200,67017400,126.4200
2006-01-24,126.6300,127.1500,126.4200,126.5500,53008800,126.5500
2006-01-25,127.0400,127.1800,125.8400,126.6600,87747700,126.6600
2006-01-26,127.2500,127.6700,126.7600,127.3600,71294000,127.3600
2006-01-27,127.6600,128.6600,127.4500,128.5400,65771200,128.5400
2006-01-30,128.4400,128.8100,128.3500,128.4400,33709600,128.4400
2006-01-31,128.3200,128.5400,127.4900,127.5000,72937000,127.5000
2006-02-01,127.8200,128.4300,127.7200,128.3900,63561000,128.3900
2006-02-02,128.1000,128.1400,126.8000,126.9000,83626900,126.9000
2006-02-03,126.5800,128.3900,126.1400,126.2700,86040400,126.2700
2006-02-06,126.4400,126.8000,126.1700,126.6000,45511900,126.6000
2006-02-07,126.3800,126.6600,125.4000,125.4800,71208100,125.4800
2006-02-08,125.8500,128.1000,125.6000,126.6200,59422200,126.6200
2006-02-09,126.9200,127.6000,126.3700,126.4100,62023300,126.4100
2006-02-10,126.4300,127.1300,125.4500,126.6400,64508700,126.6400
2006-02-13,126.6000,126.7900,125.9500,126.4100,52308700,126.4100
2006-02-14,126.4600,128.0300,126.2100,127.7500,90964400,127.7500
2006-02-15,127.6800,128.3200,127.2400,128.2000,85471300,128.2000
2006-02-16,128.3400,129.2100,128.1800,129.1600,61017900,129.1600
2006-02-17,129.0500,129.1600,128.5800,128.8100,40342600,128.8100
2006-02-21,129.1100,129.4000,128.2900,128.4900,46456300,128.4900
2006-02-22,128.7700,129.6500,128.6500,129.2700,42326700,129.2700
2006-02-23,129.2700,129.6400,128.2800,129.0800,43423200,129.0800
2006-02-24,129.1100,129.4800,128.7600,129.4100,36777400,129.4100
2006-02-27,129.4000,130.0400,129.2800,129.4600,35858600,129.4600
2006-02-28,129.2000,129.9100,128.1300,128.2300,74394800,128.2300
2006-03-01,128.6000,129.4900,128.5000,129.3700,48641600,129.3700
2006-03-02,128.9000,129.4200,128.6100,129.3600,60642300,129.3600
2006-03-03,128.6700,130.0700,128.6500,128.7600,73402500,128.7600
2006-03-06,129.1400,129.1800,127.8500,128.1700,57478400,128.1700
2006-03-07,127.8600,128.0600,127.4000,127.9700,61780800,127.9700
2006-03-08,127.7000,128.4400,127.1800,128.2400,66692400,128.2400
2006-03-09,128.2800,128.6800,127.3800,127.3800,56313600,127.3800
2006-03-10,127.7100,128.8400,127.4400,128.5900,60490800,128.5900
2006-03-13,128.8400,129.1600,128.5300,128.8300,45479100,128.8300
2006-03-14,128.7100,130.2300,128.6100,130.1800,69877300,130.1800
2006-03-15,130.1500,130.8600,129.8500,130.7600,53398900,130.7600
2006-03-16,131.0100,131.4700,130.8400,131.0300,65526400,131.0300
2006-03-17,130.6800,130.9000,130.3800,130.6200,47286800,130.6200
2006-03-20,130.6400,130.9000,130.2100,130.4100,45538500,130.4100
2006-03-21,130.3700,130.9900,129.4500,129.5900,87102700,129.5900
2006-03-22,129.5100,130.5100,129.4500,130.3800,51605700,130.3800
2006-03-23,130.2600,130.3900,129.6600,130.1100,46704200,130.1100
2006-03-24,129.9900,130.5700,129.7400,130.2100,43209200,130.2100
2006-03-27,130.0300,130.2800,129.7400,130.0200,32523000,130.0200
2006-03-28,129.9300,130.5300,129.0500,129.2200,82079900,129.2200
2006-03-29,129.4100,130.5000,129.2900,130.0300,61505700,130.0300
2006-03-30,130.1100,130.9800,129.5500,129.8000,70571700,129.8000
2006-03-31,130.0200,130.2400,129.3700,129.8300,62925600,129.8300
2006-04-03,130.0700,130.8700,129.4900,129.7300,61624700,129.7300
2006-04-04,129.7300,130.7300,129.3600,130.5600,54809300,130.5600
2006-04-05,130.6100,131.2800,130.3800,131.0100,50607200,131.0100
2006-04-06,130.8500,131.2100,130.1900,130.8700,57906200,130.8700
2006-04-07,131.0600,131.4000,129.3500,129.5400,80180900,129.5400
2006-04-10,129.7400,130.0800,129.2600,129.7400,41496500,129.7400
2006-04-11,129.8500,130.0600,128.2500,128.6400,72799400,128.6400
2006-04-12,128.7700,129.1300,128.6100,128.8800,43033700,128.8800
2006-04-13,128.5900,129.2500,128.3100,128.7100,51051800,128.7100
2006-04-17,128.8300,129.3100,128.0200,128.6600,64167700,128.6600
2006-04-18,128.9300,130.9400,128.9300,130.7000,92531800,130.7000
2006-04-19,130.7500,131.0700,130.2400,130.9500,87269000,130.9500
2006-04-20,131.0000,131.8600,130.6000,131.1300,86005500,131.1300
